featureID,featureName,featureProperty
feature_b08b3b7e,鸡冠及肉垂肿胀,symptom
feature_bffd0af4,呈紫红色,other
feature_a7c538ca,眼睑水肿,other
feature_98b049fe,流泪,symptom
feature_d6f57045,鸡冠有坏死灶,pathology
feature_ca82ad8b,趾及腿部磷片出血,symptom
feature_c3ada4fc,全身浆膜粘膜及内脏严重广泛出血,symptom
feature_bbde03ed,喉部有明显肿胀,symptom
feature_c57ad836,鼻孔常有血色分泌物,other
feature_02ba0a5a,呈紫黑色,other
feature_2f23b4f5,16周龄以前的鸡较少发生,age_feature
feature_63aa7566,发病突然,other
feature_76eec5d1,死亡多为强壮鸡,other
feature_7e991499,高产鸡,other
feature_2763e37a,排绿色稀粪,symptom
feature_3f9db31b,剖检变化为心冠脂肪出血,symptom
feature_92960a13,肝脏出血,symptom
feature_1c7d4510,十二指肠弥漫性出血,symptom
feature_574388f7,慢性可见关节炎-,symptom
feature_96a2507c,皮肤型鸡痘头部,other
feature_5b2f15df,鸡冠,other
feature_164d59db,肉垂,other
feature_c0294dcc,口角,other
feature_6d346145,眼部位有痘疹,other
feature_8ae01e6f,黏膜型鸡痘眼脸肿胀,symptom
feature_1ad67257,有粘性分泌物,other
feature_113e54bc,皮肤型鸡痘无毛部皮肤及肛门周围,other
feature_9a714e8e,翅膀内侧均见痘疹,other
feature_96f73923,坏死后有痂皮,pathology
feature_14102b07,黏膜型在口腔及咽喉粘膜上有白色疽斑,other
feature_7433221d,突出于粘膜,other
feature_37655f80,相互融合,other
feature_524c5678,表面可形成黄白色假膜,other
feature_5b665f06,单侧型眼炎,other
feature_89c7e9f2,眼睑肿胀,symptom
feature_7cbdfd38,可引起多种类型病症,other
feature_89d1a4f0,全眼球炎见于30-60日龄雏鸡,age_feature
feature_38ed13cc,严重的引起失明,other
feature_6a95955b,还有败血症,other
feature_d72d2fed,气囊炎,pathology
feature_bfe31961,雏鸡脐炎,age_feature
feature_9f80c537,关节炎及肠炎等变化,other
feature_a35dd849,单侧型眼肿,other
feature_afeb3b92,眶下部,other
feature_9c849648,面部肿胀,symptom
feature_f09eb001,肉垂水肿,other
feature_2d79eaa5,成年鸡最易感,age_feature
feature_0e983019,从鼻孔流出浆液性,other
feature_3fcf6660,粘液性以至脓性恶臭分泌物,other
feature_c401cc49,鼻腔,other
feature_fde500b9,眶下窦粘腰充血,other
feature_39cc64eb,肿胀,symptom
feature_5a95e735,腔窦内蓄积大量粘液,other
feature_8014228c,脓性分泌物,other
feature_7e5c1c0e,有时为干酪物,other
feature_f3e73670,眼膜浑浊,other
feature_d5983247,眼球萎缩,other
feature_319e2472,颜面,other
feature_237e1327,眼睑,other
feature_4d707176,眶下窦肿胀,symptom
feature_f2f19f26,流鼻涕,other
feature_deb1173a,眶下痘及腭裂蓄积大量粘液,other
feature_47c65b73,干酪样物质,other
feature_47fec793,气囊增厚,pathology
feature_24ca5466,浑浊,other
feature_c32932f3,有泡沫样,other
feature_ca038d43,黄色干酪样物质,other
feature_55e3dea8,肺门部有灰红色肺炎病灶,pathology
feature_33457b2c,面部,other
feature_b9103623,眼周围水肿,other
feature_2a4dfb84,眼周,other
feature_2fed325f,下颌皮下水肿呈胶冻状,other
feature_09dd0f69,有时为干酪样物质,other
feature_99cb4929,肠细粘膜水肿,other
feature_39ae1f95,呈黄色胶冻状,other
feature_80ac034c,眼及面部肿胀,symptom
feature_c2f92636,角膜软化,other
feature_71fa1116,穿孔,other
feature_64529aba,眼球凹陷,other
feature_6f3567e6,失明,other
feature_168c3bee,结膜囊内蓄积干酪样物质,other
feature_8ba05c3b,口腔,other
