disease,disease_type,group_type,feature,feature_type
禽流感,引起鸡冠肿胀的疾病,similar,鸡冠及肉垂肿胀,symptom
禽流感,引起鸡冠肿胀的疾病,similar,呈紫红色,other
禽流感,引起鸡冠肿胀的疾病,similar,眼睑水肿,other
禽流感,引起鸡冠肿胀的疾病,similar,流泪,symptom
禽流感,引起鸡冠肿胀的疾病,different,鸡冠有坏死灶,pathology
禽流感,引起鸡冠肿胀的疾病,different,趾及腿部磷片出血,symptom
禽流感,引起鸡冠肿胀的疾病,different,全身浆膜粘膜及内脏严重广泛出血,symptom
禽流感,引起鸡冠肿胀的疾病,different,喉部有明显肿胀,symptom
禽流感,引起鸡冠肿胀的疾病,different,鼻孔常有血色分泌物,other
禽霍乱,引起鸡冠肿胀的疾病,similar,鸡冠及肉垂肿胀,symptom
禽霍乱,引起鸡冠肿胀的疾病,similar,呈紫黑色,other
禽霍乱,引起鸡冠肿胀的疾病,different,16周龄以前的鸡较少发生,age_feature
禽霍乱,引起鸡冠肿胀的疾病,different,发病突然,other
禽霍乱,引起鸡冠肿胀的疾病,different,死亡多为强壮鸡,other
禽霍乱,引起鸡冠肿胀的疾病,different,高产鸡,other
禽霍乱,引起鸡冠肿胀的疾病,different,排绿色稀粪,symptom
禽霍乱,引起鸡冠肿胀的疾病,different,剖检变化为心冠脂肪出血,symptom
禽霍乱,引起鸡冠肿胀的疾病,different,肝脏出血,symptom
禽霍乱,引起鸡冠肿胀的疾病,different,十二指肠弥漫性出血,symptom
禽霍乱,引起鸡冠肿胀的疾病,different,慢性可见关节炎-,symptom
鸡痘,引起鸡冠肿胀的疾病,similar,皮肤型鸡痘头部,other
鸡痘,引起鸡冠肿胀的疾病,similar,鸡冠,other
鸡痘,引起鸡冠肿胀的疾病,similar,肉垂,other
鸡痘,引起鸡冠肿胀的疾病,similar,口角,other
鸡痘,引起鸡冠肿胀的疾病,similar,眼部位有痘疹,other
鸡痘,引起鸡冠肿胀的疾病,similar,黏膜型鸡痘眼脸肿胀,symptom
鸡痘,引起鸡冠肿胀的疾病,similar,流泪,symptom
鸡痘,引起鸡冠肿胀的疾病,similar,有粘性分泌物,other
鸡痘,引起鸡冠肿胀的疾病,different,皮肤型鸡痘无毛部皮肤及肛门周围,other
鸡痘,引起鸡冠肿胀的疾病,different,翅膀内侧均见痘疹,other
鸡痘,引起鸡冠肿胀的疾病,different,坏死后有痂皮,pathology
鸡痘,引起鸡冠肿胀的疾病,different,黏膜型在口腔及咽喉粘膜上有白色疽斑,other
鸡痘,引起鸡冠肿胀的疾病,different,突出于粘膜,other
鸡痘,引起鸡冠肿胀的疾病,different,相互融合,other
