diseaseID,diseaseName,diseaseProperty
disease_7b86ef24,禽流感,引起鸡冠肿胀的疾病
disease_67155a77,禽霍乱,引起鸡冠肿胀的疾病
disease_57662f8a,鸡痘,引起鸡冠肿胀的疾病
disease_4809cd7b,大肠杆菌,引起鸡冠肿胀的疾病
disease_76d1eac0,传染性鼻炎,引起鸡冠肿胀的疾病
disease_2af16922,鸡败血性支援体病,引起鸡冠肿胀的疾病
disease_06211d6c,肿头综合症,引起鸡冠肿胀的疾病
disease_ebbe3509,VA缺乏症,引起鸡冠肿胀的疾病
disease_e97a83e4,大肠杆菌病,引起腿部肿胀、引起运动性障碍的疾病
disease_12c5642f,葡萄球菌病,引起腿部肿胀、引起运动性障碍的疾病
disease_29b075c6,滑液囊关节炎,引起腿部肿胀、引起运动性障碍的疾病
disease_a9e54ef4,病毒性关节炎,引起腿部肿胀、引起运动性障碍的疾病
disease_902e9c0a,关节痛风,引起腿部肿胀、引起运动性障碍的疾病
disease_d68f3188,胆碱缺乏症,引起腿部肿胀、引起运动性障碍的疾病
disease_badabbaf,VB2缺乏症,引起腿部肿胀、引起运动性障碍的疾病
disease_309dbcf1,VB6缺乏症,引起腿部肿胀、引起运动性障碍的疾病
disease_b40e2573,MN缺乏症,引起腿部肿胀、引起运动性障碍的疾病
disease_e57bb38d,CA缺乏症,引起腿部肿胀、引起运动性障碍的疾病
disease_8e2180bf,鸡新城疫（肺脑型）,引起神经症状的疾病
disease_0c38efe9,马立克氏病（神经型）,引起神经症状的疾病
disease_82525932,鸡传染性脑脊髓炎,引起神经症状的疾病
disease_51fc1226,大肠杆菌病（脑炎型）,引起神经症状的疾病
disease_83b265ef,食盐中毒,引起神经症状的疾病
disease_89ab374a,叶酸缺乏症,引起神经症状的疾病
disease_6c28d061,VE和硒缺乏症（脑软化症）,引起神经症状的疾病
disease_4fdcbb58,VB1缺乏症,引起神经症状的疾病
disease_3229544c,鸡新城疫,引起肠炎、下痢的疾病
disease_911063ec,鸡传染性法氏囊病,引起肠炎、下痢的疾病
disease_a4871cf4,坏死性肠炎,引起肠炎、下痢的疾病
disease_0789897a,鸡组织滴虫病,引起肠炎、下痢的疾病
disease_c2549061,鸡球虫病,引起肠炎、下痢的疾病
disease_688dd97a,鸡白痢,引起肠炎、下痢的疾病
disease_eaf02a46,鸡伤寒,引起肠炎、下痢的疾病
disease_c086c760,溃疡性肠炎,引起肠炎、下痢的疾病
disease_826d4bf9,鸡传染性鼻炎,引起呼吸困难的疾病
disease_61e60b5a,鸡败血霉形体病,引起呼吸困难的疾病
disease_a47ff58c,鸡传染性支气管,引起呼吸困难的疾病
disease_3fc2dce6,鸡传染性喉气管,引起呼吸困难的疾病
disease_a53f91d8,鸡痘（喉痘型）,引起呼吸困难的疾病
disease_bd236339,鸡败血性霉形体病,引起肺脏、气囊病变的疾病
disease_8520126e,鸡曲霉菌病,引起肺脏、气囊病变的疾病
disease_8e3ce25b,鸡霍乱,引起肝脏发生病变的疾病
disease_f9aeffba,鸡沙门氏杆菌,引起肝脏发生病变的疾病
disease_73e21b75,鸡大肠杆菌,引起肝脏发生病变的疾病
disease_a07fb102,鸡弯曲菌肝炎,引起肝脏发生病变的疾病
disease_39453c92,鸡马立克氏病（内脏型）,引起肝脏发生病变的疾病
disease_4e83aebc,鸡脂肪肝出血综合症,引起肝脏发生病变的疾病
disease_86446241,鸡传染性支气管炎（肾型）,引起肾脏病变的疾病
disease_3e428120,痛风,引起肾脏病变的疾病
disease_669976c6,鸡病毒性肾炎,引起肾脏病变的疾病
