diseaseID,featureID,operation,groupType
disease_7b86ef24,feature_b08b3b7e,diagnose,similar
disease_7b86ef24,feature_bffd0af4,diagnose,similar
disease_7b86ef24,feature_a7c538ca,diagnose,similar
disease_7b86ef24,feature_98b049fe,diagnose,similar
disease_7b86ef24,feature_d6f57045,diagnose,different
disease_7b86ef24,feature_ca82ad8b,diagnose,different
disease_7b86ef24,feature_c3ada4fc,diagnose,different
disease_7b86ef24,feature_bbde03ed,diagnose,different
disease_7b86ef24,feature_c57ad836,diagnose,different
disease_67155a77,feature_b08b3b7e,diagnose,similar
disease_67155a77,feature_02ba0a5a,diagnose,similar
disease_67155a77,feature_2f23b4f5,diagnose,different
disease_67155a77,feature_63aa7566,diagnose,different
disease_67155a77,feature_76eec5d1,diagnose,different
disease_67155a77,feature_7e991499,diagnose,different
disease_67155a77,feature_2763e37a,diagnose,different
disease_67155a77,feature_3f9db31b,diagnose,different
disease_67155a77,feature_92960a13,diagnose,different
disease_67155a77,feature_1c7d4510,diagnose,different
disease_67155a77,feature_574388f7,diagnose,different
disease_57662f8a,feature_96a2507c,diagnose,similar
disease_57662f8a,feature_5b2f15df,diagnose,similar
disease_57662f8a,feature_164d59db,diagnose,similar
disease_57662f8a,feature_c0294dcc,diagnose,similar
disease_57662f8a,feature_6d346145,diagnose,similar
disease_57662f8a,feature_8ae01e6f,diagnose,similar
disease_57662f8a,feature_98b049fe,diagnose,similar
disease_57662f8a,feature_1ad67257,diagnose,similar
disease_57662f8a,feature_113e54bc,diagnose,different
disease_57662f8a,feature_9a714e8e,diagnose,different
disease_57662f8a,feature_96f73923,diagnose,different
disease_57662f8a,feature_14102b07,diagnose,different
disease_57662f8a,feature_7433221d,diagnose,different
disease_57662f8a,feature_37655f80,diagnose,different
disease_57662f8a,feature_524c5678,diagnose,different
disease_4809cd7b,feature_5b665f06,diagnose,similar
disease_4809cd7b,feature_89c7e9f2,diagnose,similar
disease_4809cd7b,feature_98b049fe,diagnose,similar
disease_4809cd7b,feature_1ad67257,diagnose,similar
disease_4809cd7b,feature_7cbdfd38,diagnose,different
disease_4809cd7b,feature_89d1a4f0,diagnose,different
disease_4809cd7b,feature_38ed13cc,diagnose,different
disease_4809cd7b,feature_6a95955b,diagnose,different
disease_4809cd7b,feature_d72d2fed,diagnose,different
disease_4809cd7b,feature_bfe31961,diagnose,different
disease_4809cd7b,feature_9f80c537,diagnose,different
disease_76d1eac0,feature_a35dd849,diagnose,similar
disease_76d1eac0,feature_afeb3b92,diagnose,similar
