头实体,关系,尾实体,数据来源
禽流感,症状,体温升高精神沉郁,搜狐2025版
禽流感,症状,采食减少呼吸困难,搜狐2025版
禽流感,症状,鸡冠发绀头部水肿,搜狐2025版
禽流感,病理变化,腺胃乳头出血,搜狐2025版
禽流感,病理变化,输卵管白色渗出物,搜狐2025版
新城疫,症状,呼吸困难绿色稀粪,搜狐2025版
新城疫,症状,神经症状扭颈转圈,搜狐2025版
新城疫,病理变化,腺胃乳头出血,搜狐2025版
新城疫,病理变化,肠道枣核样溃疡,搜狐2025版
传染性法氏囊炎,症状,白色水样腹泻,搜狐2025版
传染性法氏囊炎,症状,精神萎靡畏寒扎堆,搜狐2025版
传染性法氏囊炎,病理变化,法氏囊肿大出血,搜狐2025版
传染性法氏囊炎,病理变化,肌肉刷状出血,搜狐2025版
传染性支气管炎,症状,气管啰音伸颈呼吸,搜狐2025版
传染性支气管炎,症状,产蛋下降畸形蛋,搜狐2025版
传染性支气管炎,病理变化,气管黏液增多,搜狐2025版
传染性支气管炎,病理变化,肾脏肿大花斑,搜狐2025版
传染性喉气管炎,症状,呼吸困难咳出血痰,搜狐2025版
传染性喉气管炎,病理变化,喉头出血性栓塞,搜狐2025版
鸡痘,症状,皮肤无毛处结痂,搜狐2025版
鸡痘,症状,口腔咽喉白喉假膜,搜狐2025版
马立克,症状,劈叉姿势单侧腿麻,搜狐2025版
马立克,病理变化,内脏器官肿瘤,搜狐2025版
禽霍乱,症状,剧烈腹泻黄绿稀粪,搜狐2025版
禽霍乱,病理变化,肝脏针尖状坏死,搜狐2025版
禽霍乱,病理变化,心冠脂肪出血点,搜狐2025版
鸡白痢,症状,白色糊状稀粪,搜狐2025版
鸡白痢,病理变化,肝脏土黄色坏死点,搜狐2025版
大肠杆菌病,症状,脐炎败血症,搜狐2025版
大肠杆菌病,病理变化,心包炎肝周炎,搜狐2025版
鸡球虫病,症状,血便贫血消瘦,搜狐2025版
鸡球虫病,病理变化,盲肠肿大出血,搜狐2025版
鸡支原体病,症状,眼睑肿胀流泡沫泪,搜狐2025版
鸡支原体病,症状,关节肿胀跛行,搜狐2025版
传染性鼻炎,症状,流鼻涕打喷嚏,搜狐2025版
传染性鼻炎,症状,面部肿胀结膜炎,搜狐2025版
禽曲霉菌病,症状,呼吸困难喘气,搜狐2025版
禽曲霉菌病,病理变化,肺脏霉斑结节,搜狐2025版
鸡葡萄球菌病,症状,关节肿胀化脓,搜狐2025版
鸡葡萄球菌病,症状,皮肤溃烂坏死,搜狐2025版
鸡坏死性肠炎,症状,黑色血便,搜狐2025版
鸡坏死性肠炎,病理变化,小肠充气出血,搜狐2025版
鸡脂肪肝综合征,症状,肥胖产蛋下降,搜狐2025版
鸡脂肪肝综合征,病理变化,肝脏黄色油腻,搜狐2025版
鸡痛风,症状,关节肿胀排白尿,搜狐2025版
鸡痛风,病理变化,内脏尿酸盐沉积,搜狐2025版
鸡中暑,症状,张口呼吸猝死,搜狐2025版
鸡中暑,病理变化,血液凝固不良,搜狐2025版
禽流感,预防措施,疫苗免疫加强消毒,搜狐2025版
新城疫,预防措施,7日龄首免21日龄二免,搜狐2025版
传染性法氏囊炎,预防措施,14日龄饮水免疫,搜狐2025版
传染性支气管炎,预防措施,H120+H52疫苗免疫,搜狐2025版
传染性喉气管炎,预防措施,35日龄滴眼免疫,搜狐2025版
鸡痘,预防措施,刺种免疫,搜狐2025版
马立克,预防措施,1日龄颈部皮下注射,搜狐2025版
禽霍乱,预防措施,禽霍乱蜂胶灭活苗,搜狐2025版
鸡白痢,预防措施,种鸡净化,搜狐2025版
大肠杆菌病,预防措施,改善环境卫生,搜狐2025版
鸡球虫病,预防措施,交替使用抗球虫药,搜狐2025版
鸡支原体病,预防措施,种蛋消毒,搜狐2025版
传染性鼻炎,预防措施,灭活疫苗免疫,搜狐2025版
禽曲霉菌病,预防措施,防止饲料霉变,搜狐2025版
鸡坏死性肠炎,预防措施,控制球虫感染,搜狐2025版
鸡脂肪肝综合征,预防措施,降低饲料能量,搜狐2025版
鸡痛风,预防措施,控制蛋白水平,搜狐2025版
鸡中暑,预防措施,加强通风降温,搜狐2025版
