病名,相似点,区别点
禽流感,鸡冠及肉垂肿胀，呈紫红色；头，眼睑水肿、流泪,鸡冠有坏死灶，趾及腿部磷片出血，全身浆膜粘膜及内脏严重广泛出血，颈、喉部有明显肿胀，鼻孔常有血色分泌物
禽霍乱,鸡冠及肉垂肿胀，呈紫黑色,16周龄以前的鸡较少发生，发病突然，死亡多为强壮鸡和高产鸡。排绿色稀粪。剖检变化为心冠脂肪出血，肝脏出血、十二指肠弥漫性出血、慢性可见关节炎-
鸡痘,皮肤型鸡痘头部、鸡冠、肉垂、口角、眼部位有痘疹；黏膜型鸡痘眼脸肿胀，流泪、有粘性分泌物,皮肤型鸡痘无毛部皮肤及肛门周围，翅膀内侧均见痘疹，坏死后有痂皮;黏膜型在口腔及咽喉粘膜上有白色疽斑，突出于粘膜，相互融合，表面可形成黄白色假膜
大肠杆菌,单侧型眼炎，眼睑肿胀，流泪，有粘性分泌物,可引起多种类型病症，全眼球炎见于30-60日龄雏鸡，严重的引起失明，还有败血症、气囊炎、雏鸡脐炎、关节炎及肠炎等变化
传染性鼻炎,单侧型眼肿，眶下部和面部肿胀，肉垂水肿,成年鸡最易感，从鼻孔流出浆液性，粘液性以至脓性恶臭分泌物，鼻腔和眶下窦粘腰充血、肿胀、腔窦内蓄积大量粘液、脓性分泌物，有时为干酪物，眼膜浑浊，眼球萎缩
鸡败血性支援体病,颜面、眼睑、眶下窦肿胀、流泪、流鼻涕,鼻腔、眶下痘及腭裂蓄积大量粘液和干酪样物质，气囊增厚、浑浊，有泡沫样或黄色干酪样物质，肺门部有灰红色肺炎病灶
肿头综合症,头、面部、眼周围水肿,头、眼周、冠、肉垂、下颌皮下水肿呈胶冻状，有时为干酪样物质，肠细粘膜水肿，呈黄色胶冻状
VA缺乏症,眼及面部肿胀、流泪、流鼻涕,眼睑肿胀、角膜软化或穿孔、眼球凹陷、失明、结膜囊内蓄积干酪样物质，口腔、咽、食道粘膜有白色小米大结节
,,
大肠杆菌病,"关节肿大，跛行,触诊有波动感。",切开关节流出浑浊液体，重者关节腔内有干酪样物质;涂片镜检可见革蓝氏阴性小杆菌。
葡萄球菌病,"多个关节性肿胀,以跗,趾关节多见;病鸡跛行，不愿意站立走动","关节肿胀紫红,逐渐化脓,有的形成趾瘤,切开关节后,流出黄色脓汁,涂片镜检可见大量葡萄球菌。"
滑液囊关节炎,跗关节肿胀，触诊有波动感、热感，站立，运动困难,"切开后关节囊内有粘稠液体或干酪样物质， 多发于4-16周龄,偶尔见于成年鸡。"
病毒性关节炎,跗关节及后侧腓肠肌腱和腱鞘肿胀，表现为拐腿，跛行，重者不能站立。,"多为侧性跗关节与腓肠肌腱肿胀,关节腔积液呈草黄色或淡红色,有时腓肠肌腱断裂、出血,外观病变部位呈青紫色"
关节痛风,"四肢关节肿胀 ，有的肢掌趾关节肿胀,走路不稳，跛行，重者不能站立",关节囊内有淡黄或灰色石灰乳样尿酸盐沉积
胆碱缺乏症,"跗关节轻度肿大,周围点状出血;长骨短粗，跖骨变形变曲。","雏鸡、 青年鸡可见滑腱症（骨骼畸形）,肝脂肪含量增多,成年鸡主要表现为机体脂肪过度沉积,一般无关节病变"
VB2缺乏症,"跗趾关节肿胀 ,肢趾向内卷曲成拳状，即“卷爪”","双脚不能站立,行走困难,两侧坐骨神经和臂神经显著肿大，变软，为正常的4-5倍;胃肠道粘膜萎缩，肠内有泡沫状内容物，多办发于育雏期和产蛋高峰期。"
VB6缺乏症,长骨短粗，一般胫骨短粗，偶尔也会有滑腱症,头颈部麻痹症状，头无法抬起，向前伸直下垂，喙触地；雏鸡嘴角上下交错
MN缺乏症,长骨短粗，跗关节明显肿胀，腿屈曲无法站立和行走,长骨变短粗，但不变软脆，雏鸡表现为典型的滑腱症
CA缺乏症,跗关节肥大，腿枝短粗,轻者肢、腿皮肤有鳞片状皮屑，重者腿、皮肤严重角化，肢掌有裂缝。羽毛末端严重缺损，尤以翼羽明显。
,,
鸡新城疫（肺脑型）,"四肢麻痹,共济失调,因肌肉痉挛和震颤,常引起转圈运动","有呼吸道症状,剖检见十二指肠、卵黄蒂后2-3CM ,回盲处淋巴滤泡肿胀、出血、溃疡;腺胃乳头顶端出血或溃疡；各日龄段均可发病"
马立克氏病（神经型）,"轻者运动失调,步态异常;重者瘫痪，呈“劈叉”病症",特征性“劈叉”姿势;剖检见腰荐神经丛、臂神经丛、坐骨神经均呈单侧性肿粗，神经的横纹消失，多发于青年鸡
鸡传染性脑脊髓炎,共济失调，走路前后摇晃，步态不稳，或以跗关节和翅膀支撑前行,头颈部震颤，尤其在受惊后或将鸡倒提起时，震颤加强，剖检见脑水肿、充血，但无出血现象，肌胃内有细小的灰白色病变区；多发于三周龄以内的雏鸡
禽流感,腿、翅麻痹、轻瘫,"胸肌，腿肌出血，胸骨内侧胰腺边缘出血,肌胃角质膜下出血明显,输卵管内有鼻涕样液体。"
大肠杆菌病（脑炎型）,"垂头、昏睡状、有的鸡有歪头,斜颈共济失调，抽搐症状",脑膜充血、出血、小脑膜及实质有许多针尖大小出血点;涂片染色，镜检可见革蓝氏阴性小杆菌。
食盐中毒,高度兴奋、奔跑;重者倒地仰卧、抽搐,抢水严重，伴有严重腹泻;剖检脑膜充血、水肿，出血。
叶酸缺乏症,"颈部肌肉麻痹,抬头向前平伸,啄着地。","""软颈”症状与肉毒中毒相似,但病鸡精神尚好,胫骨短粗,有时可见""滑腱症”-般不易出现叶酸缺乏症"
