question	answer
家禽需要哪些营养成分？	家禽为了保证健康、进行正常的生长发育,必须不断地从外界摄取食物(即饲料),并从这些食物中吸取各种营养物质,其中包括水、蛋白质、碳水化合物、脂肪、矿物质和维生素等。这些营养物质进入消化道后大部分被消化、吸收,一部分不能被消化、吸收和利用的,变成粪尿排出体外。通过分析饲料得知,家禽饲料中含有的营养成分,可用图1- 1表示。 ![](https://cdn-mineru.openxlab.org.cn/extract/5446c155-4f55-4eef-b9b2-cd40e853aa89/b3222ff56bcae4a205c9d520013401fa1306c9f34bdf0576d8ca660090b1ef1e.jpg) 图1-1 饲料中的营养物质 2. 什么叫蛋白质饲料?家禽常用的蛋白质饲料有哪些? 蛋白质饲料一般指饲料干物质中粗蛋白质含量在 $20\%$ 以上,粗纤维含量在 $18\%$ 以下的饲料。蛋白质饲料主要包括植物性蛋白质饲料和动物性蛋白质饲料。 (1)植物性蛋白质饲料主要有豆饼(豆粕)、花生饼、葵 花饼、芝麻饼、菜籽饼、棉籽饼等。 $①$ 豆饼(豆粕):大豆因榨油方法不同,其副产物可分为豆饼和豆粕两种类型。用压榨法加工的副产品叫豆饼,用浸提法加工的副产品叫豆粕。豆饼(粕)中含粗蛋白质 $40\% \sim 45\%$ ,含代谢能 $10.04 \sim 10.88$ 兆焦/千克,矿物质、维生素的营养水平与谷实类饲料大致相似,且适口性好,经加热处理的豆饼(粕)是家禽最好的植物性蛋白质饲料,一般在饲粮中用量可占 $10\% \sim 30\%$ 。虽然豆饼中赖氨酸含量比较高,但缺乏蛋氨酸,故与其他饼粕类或鱼粉配合使用,或在以豆饼为主要蛋白质饲料的无鱼粉饲粮中加入一定量合成氨基酸,饲养效果更好。 $②$ 花生饼:花生饼中粗蛋白质含量略高于豆饼,为 $42\% \sim 48\%$ ,精氨酸含量高,赖氨酸含量低,其他营养成分与豆饼相差不大,但适口性好于豆饼,与豆饼配合使用效果较好,一般在饲粮中用量可占 $15\% \sim 20\%$ 。 $③$ 葵花籽饼(粕):葵花籽饼的营养价值随含壳量多少而定。优质的脱壳葵花籽饼粗蛋白质含量可达 $40\%$ 以上,蛋氨酸含量比豆饼多2倍,粗纤维含量在 $10\%$ 以下,粗脂肪含量在 $5\%$ 以下,钙、磷含量比同类饲料高,B族维生素含量也比豆饼丰富,且容易消化。但目前完全脱壳的葵花籽饼很少,绝大部分是含一定量的籽壳,从而使其粗纤维含量升高,消化率降低。目前常见的葵花籽饼的干物质中粗蛋白质平均含量为 $22\%$ ,粗纤维含量为 $18.6\%$ ;葵花籽粕含粗蛋白质 $24.5\%$ ,含粗纤维 $19.9\%$ ,按国际饲料分类原则应属于粗饲料。因此,含籽壳较多的葵花籽饼(粕)在饲粮中用量不宜过多,一般占 $5\% \sim 15\%$ 。 $④$ 芝麻饼:芝麻饼是芝麻榨油后的副产物,含粗蛋白质 $40\%$ 左右,蛋氨酸含量高,适当与豆饼搭配饲喂,能提高蛋白质的利用率。一般在饲粮中用量可占 $5\% \sim 10\%$ 。由于芝麻饼含脂肪多而不宜久贮,最好现粉碎现喂。 $⑤$ 菜籽饼:菜籽饼粗蛋白质含量高(约 $38\%$ 左右),营养成分也比较全面,与其他油饼类饲料相比,突出的优点是:含有较多的钙、磷和一定量的硒,B族维生素(尤其核黄素)的含量比豆饼丰 富,但其蛋白质生物学价值不如豆饼,而且含有芥子毒素,有辣味,适口性差,生产中需加热处理去毒才能作为家禽的饲料,一般在饲粮中含量占 $5\%$ 左右。 (2)动物性蛋白质饲料主要有鱼粉、肉骨粉、蚕蛹粉、血粉、羽毛粉等。 $①$ 鱼粉:鱼粉中不仅蛋白质含量高( $45\% \sim$ $65\%$ ),而且氨基酸种类丰富且完善,其蛋白质生物学价值居动物性蛋白质饲料之首。鱼粉中维生素A、维生素D、维生素E及维生素B族维生素含量丰富,矿物质含量也较全面,不仅钙、磷含量高,而且比例适当;锰、铁、锌、碘、硒的含量也是其他任何饲料所不及的。进口鱼粉颜色棕黄,粗蛋白质含量在 $60\%$ 以上,含盐量少,一般可占饲粮的 $5\% \sim 15\%$ ;国产鱼粉呈灰褐色,含粗蛋白质 $35\% \sim 55\%$ ,含盐量高,一般可占饲粮的 $5\% \sim$ $7\%$ ,太多容易造成食盐中毒。 $②$ 肉骨粉:肉骨粉是由肉联厂的下脚料(如内脏、骨骼等)及病畜体的废弃肉经高温处理而制成的,其营养物质含量随原料中骨、肉、血、内脏比例不同而异,一般蛋白质含量为 $40\% \sim 65\%$ ,脂肪含量为 $8\% \sim 15\%$ 。使用时,最好与植物性蛋白质饲料配合,用量可占饲粮的 $5\%$ 左右。 $③$ 血粉:血粉中粗蛋白质含量高达 $80\%$ 左右,富含赖氨酸,但蛋氨酸和胱氨酸含量较少,消化率比较低,生产中最好与其他动物性蛋白质饲料配合使用,用量不宜超过饲粮的 $3\%$ 。 $④$ 羽毛粉:水解羽毛粉含粗蛋白质近 $80\%$ ,但蛋氨酸、赖氨酸、色氨酸和组氨酸含量低,使用时要注意氨基酸平衡问题,应与其他动物性饲料配合使用,一般在饲粮中用量可占 $2\% \sim 3\%$ 。
什么叫能量饲料?家禽常用的能量饲料有哪些？	饲料中的有机物都含有能量,而这里所谓的能量饲料是指那些富含碳水化合物和脂肪的饲料,在干物质中粗纤维含量在 $18\%$ 以下,粗蛋白质含量在 $20\%$ 以下。这类饲料的消化率高,每千克饲料干物质代谢能为 $7.11 \sim 14.6$ 兆焦;粗蛋白质含量少, 仅为 $7.8\% \sim 13\%$ ,特别是缺乏赖氨酸和蛋氨酸;含钙少、磷多。因此,这类饲料必须和蛋白质饲料等其他饲料配合使用。 (1)玉米 玉米含能量高、纤维少,适口性好,消化率高,是家禽饲养中用得最多的一种饲料,素有饲料之王的称号。中等质地的玉米含代谢能 $12.97 \sim 14.64$ 兆焦/千克,而且黄玉米中含有较多的胡萝卜素,用黄玉米饲喂家禽可提供一定量的维生素A,促进家禽的生长发育、产蛋及卵黄着色。玉米的缺点是蛋白质含量低,缺乏赖氨酸、蛋氨酸和色氨酸,钙、磷含量也较低。在家禽饲粮中,玉米可占 $50\% \sim 70\%$ . (2)高粱 高粱含能量与玉米相近,但含有较多的单宁(鞣酸),使味道发涩,适口性差,饲喂过量还会引起便秘。一般在饲粮中用量不超过 $10\% \sim 15\%$ . (3)粟 俗称谷子,去壳后称小米。小米含能量与玉米相近,粗蛋白质含量高于玉米,为 $10\%$ 左右,核黄素(维生素 $\mathrm{B}_{2}$ )含量高(1.8毫克/千克),而且适口性好. (4)碎米 是加工大米筛下的碎粒。含能量、粗蛋白质、蛋氨酸、赖氨酸等含量、与玉米相近,而且适口性好,是家禽良好的能量饲料,一般在饲粮中用量可占 $30\% \sim 50\%$ 或更多一些. (5)小麦 小麦含能量与玉米相近,粗蛋白质含量高,且所含氨基酸比其他谷实类丰富,B族维生素含量丰富,是家禽良好的能量饲料。但优质小麦价格昂贵,生产中只能用不宜做口粮的小麦(麦)做饲料。麦是不成熟的小麦,籽粒不饱满,其蛋白质含量高于小麦,适口性好,且价格也比较便宜. (6)大麦、燕麦 大麦和燕麦含能量比小麦低,但B族维生素含量丰富。因其皮壳粗硬,不易消化,需破碎或发芽后少量搭配饲喂. (7)小麦麸 小麦麸粗蛋白质含量较高,可达 $13\% \sim 17\%$ ,B族维生素含量也较丰富,质地松软,适口性好,是家禽的常用饲料。由于麦麸粗纤维含量高,容积大,且有轻泻作用,故用量 不宜过多。一般在饲粮中的用量,雏禽和成禽可占 $5\% \sim 15\%$ ,育成禽可占 $10\% \sim 20\%$ . (8)米糠 米糠是稻谷加工的副产物,其成分随加工大米的精白程度而有显著差异。米糠含能量低,粗蛋白质含量高,富含B族维生素,多含磷、镁和锰,少含钙,粗纤维含量高。由于米糠含油脂较多,故久贮易变质。一般在饲粮中米糠用量可占 $5\% \sim 10\%$ . (9)高粱糠 高粱糠粗蛋白质含量略高于玉米,B族维生素含量丰富,但粗纤维含量高、能量低,且含有较多的单宁(单宁和蛋白质结合发生沉淀,影响蛋白质的消化,适口性差。)一般在饲粮中用量不宜超过 $5\%$ .
什么叫青饲料?家禽常用的青饲料有哪些？	青饲料是指含水量在 $60\%$ 以上的新鲜植物性饲料,主要包括野生牧草、栽培牧草、蔬菜、作物茎叶、青绿树叶、青饲作物、水生饲料等,具有来源广、成本低廉的优点。青绿饲料干物质中蛋白质含量高,品质好;钙含量高,且钙、磷比例适宜;粗纤维含量少,适口性好,容易消化;富含胡萝卜素和多种B族维生素。但青绿饲料一般含水量较高,甚至达 $70\% \sim 80\%$ ,干物质含量少,有效能值低,因此在大量饲喂青绿饲料的条件下,要注意适当补充精料.
什么叫粗饲料?家禽常用的粗饲料有哪些？	粗饲料一般指干物质中粗纤维含量在 $18\%$ 以上的饲料。主要包括干草类、农副产品类、风干后的树叶类和槽渣类等。此类饲料的共同特点是: $①$ 碳水化合物中粗纤维含量高而无氮浸出物含量低,因而消化率含量低。 $②$ 粗蛋白含量差异很大。豆科干草和地瓜蔓蛋白质含量可达 $10\% \sim 19\%$ ,禾本科干草只有 $6\% \sim 10\%$ ,秸秆和皮壳仅有 $3\% \sim 5\%$ . $③$ 矿物质中,豆科粗饲料钙 含量较高,其他则较低。 $④$ 维生素D丰富而其他维生素较少,其原因是植物中麦角固醇经紫外线照射后可转变为维生素D。
什么叫矿物质饲料?家禽常用的矿物质饲料有哪些？	矿物质饲料是为了补充植物性饲料和动物性饲料中某种矿物质元素不足而利用的一类饲料。矿物质在大部分饲料中都有一定含量,在散养和低产的情况下,看不出明显的矿物质缺乏症,但规模化饲养、高产的情况下需要量增多,必须在饲料中补加。矿物质饲料包括天然单一的矿物质饲料和多种混合的矿物质饲料以及某些微量或常量元素的补充料。 (1)食盐其化学成分为氯化钠,具有促进食欲、保持细胞正常渗透压、维持健康的作用。但禽类对食盐的耐受量较低,一般在日粮中含量为 $0.25\% \sim 0.5\%$ 。当食盐含量偏高或混合不匀时,就有可能引起食盐中毒。具体喂量视饲粮组成中的含盐量、日龄、生产需要而定。 (2)石粉由天然石灰石粉碎而成,主要成分为碳酸钙,白色或灰色,无味,不吸湿。钙含量为 $35\% \sim 38\%$ 。价格低廉,但禽类吸收率较低。石粉的用量禽类控制在 $2\% \sim 7\%$ 。过高易影响有机养分消化率,使泌尿系统产生炎症与结石。最好与骨粉按 $1:1$ 的比例配合使用。 (3)贝壳粉贝壳粉为各种贝类外壳(如蚌壳、螺筛壳、蛤俐壳等)经加工粉碎而成的粉状或粒状产品。含有约 $94\%$ 的碳酸钙( $38\%$ 的钙),呈白色粉状或片状。禽类对贝壳粉的吸收率尚可,特别是下午喂颗粒状贝壳,有助于形成良好的蛋壳。 (4)蛋壳粉蛋壳粉为禽蛋加工厂的副产品,经清洗、干燥灭菌、粉碎过筛即成。除含有碳酸钙约 $94\%$ ( $34\%$ 钙)外,还含有 $7\%$ 的粗蛋白质, $0.09\%$ 的磷。为理想钙源,利用率较高。 (5)骨粉以家畜的骨骼为原料,经蒸汽高压蒸煮、脱脂、 脱胶后干燥、粉碎过筛制成。一般为黄褐色或灰褐色,其基本成分为磷酸钙,含钙量约 $26\%$ ,磷约 $13\%$ ,钙磷比为 $2:1$ ,是钙、磷较平衡的矿物质饲料。还含蛋白质约 $12\%$ 。其品质因骨源与加工方法不同而差异较大,如经5332帕压力处理脱胶,骨髓和脂肪基本去除,则无异味,并呈白色粉末状。骨源当以猪骨为佳。生骨粉易酸败变质,并有传播疾病的危险。 (6) 磷酸钙盐 由磷矿石制成或由化工生产的产品。常用的有磷酸二钙(磷酸氢钙),还有磷酸一钙(磷酸二氢钙)。它们的溶解性要高于磷酸三钙,动物对其中的钙、磷的吸收利用率也较高。磷酸钙盐中的氟不宜超过 $0.2\%$ ,以免引起禽类中毒,甚至大批死亡。
什么叫饲料添加剂? 它们分哪几类？	饲料添加剂是用于改善基础日粮、促进生长发育、防治某些疾病的微量成分,它们的功效是多方面的,正确使用可提高家禽的生产性能。饲料添加剂虽然品种繁多,但可归结为两大类,一类是营养性饲料添加剂,包括维生素添加剂、氨基酸添加剂、矿物质添加剂等;另一类是非营养性饲料添加剂,包括生长促进剂(抗生素、抗菌药物、激素、酶制剂等)、驱虫保健剂(驱虫药物、防虫药物等)、饲料保藏剂(抗氧化剂、防毒剂等),增进食欲和禽产品质量改进添加剂(调味刺、颗粒粘合剂、着色剂等)。 目前国内生产中应用较多的品种主要是维生素、微量元素及部分氨基酸(蛋氨酸、赖氨酸)等营养性添加剂;非营养性添加剂则以抗菌药物、驱虫药物添加剂占大多数。
怎样使用各种营养性饲料添加剂？	(1) 维生素、微量元素添加剂 这类添加剂可分为雏禽、育成禽、产蛋种禽、肉用禽等多种,添加时按药品说明决定用量,饲料中原有的含量只作为安全裕量,不予考虑。家禽处于逆境 时,如运输、转群、注射疫苗、断喙时对这类添加剂的需要量加大。 (2) 氨基酸添加剂 目前人工合成而作为饲料添加剂进行大批量生产的是赖氨酸和蛋氨酸。以大豆饼为主要蛋白质来源的日粮,添加蛋氨酸可以节省动物性饲料用量,豆饼不足的日粮添加蛋氨酸和赖氨酸,可以大大强化饲料的蛋白质营养价值,使用时按基础日粮与饲养标准的差额进行添加,添加量一般占日粮的 $0.2\% \sim 0.5\%$ 。
怎样使用各种非营养性饲料添加剂？	(1) 抗生素添加剂 抗生素添加剂不仅具有防病健身的效果,有些还能促进生长发育,并改善饲料报酬。在防疫卫生条件差和饲料不完善情况下使用效果更明显。但不宜过量和长期投喂,一般在产蛋期和肉用禽上市前 $7 \sim 10$ 天应停止添喂。常用的抗生素添加剂有金霉素、土霉素钙、硫酸新霉囊、莫能菌素、北里霉素等。 (2) 驱虫保健剂 主要指添加于饲料中的抗球虫药物。目前用于防治球虫的药物很多,如氯苯胍、克球粉、腐质酸钠等,这类药物要严格按使用说明控制药量,否则易发生药物中毒。 (3) 防霉剂 为防止饲料在高温、高湿环境中霉烂变质而使用的添加剂。主要有丙酸钙、丙酸钠等。 (4) 抗氧化剂 其作用是缓和或降低配合饲料中的脂肪、维生素和色素的氧化分解过程,从而增强其稳定性和使用效果。用于饲料的抗氧化剂主要有山道喹、乙氧基喹啉等。 (5) 着色剂 为使肉用仔鸡的喙、胫、皮肤呈黄色,可在饲粮中添加一定量的着色剂,如叶黄素、胡萝卜醇等。
使用饲料添加剂时要注意哪些问题？	饲料添加剂的作用已逐渐被人们认识,使用愈来愈普遍,但 因其种类多,使用量小而作用很大,且多易失效,所以使用时应注意以下几点: (1)正确选择 目前饲料添加剂的种类很多,每种添加剂都有自己的用途和特点。因此,用前应充分了解它们的性能,然后结合饲养目的、饲养条件、家禽品种及健康状况等选择使用。 (2)用量适当 若用量少,则达不到预期目的,用量过多会引起中毒,增加饲养成本。用量多少应严格遵照生产厂家在产品包装上的使用说明。 (3)搅拌均匀 搅拌的均匀程度与效果直接相关。在手工拌料时,具体做法是先确定用量,将所需添加剂加入少量的饲料中拌和均匀,即为第一层次预混料;然后再把第一层次预混料掺到一定量(饲料总量的 $1 / 5 \sim 1 / 3$ )饲料上,再充分搅拌均匀,即为第二层次预混料;最后再次把第二层次预混料掺到剩余的饲料上,拌匀即可。这种方法称为饲料三层次分级拌合法。由于添加剂的用量很少,只有多层次分级搅拌才能混匀。如搅拌不均匀,即使是按规定的用量饲用,也往往起不到作用,甚至会出现中毒现象。 (4)混于干粉料中 饲料添加剂只能混于干粉料中、短时间贮存待用,才能发挥它的作用。不能混于加水的饲料和发酵的饲料中,更不能与饲料一起加工或煮沸使用。 (5)贮存时间不宜过长 大部分饲料添加剂不宜久放,特别是营养性饲料添加剂、特效添加剂,久放后容易受潮发酵变质或氧化还原而失去作用,如维生素添加剂、抗生素添加剂等。 (6)配伍禁忌 多种维生素最好不要直接接触微量元素和氯化胆碱,以免减小药效。在同时饲用两种以上的添加剂时,应考虑有无拮抗、抑制作用,是否会产生化学反应等。
什么叫饲养标准?应用饲养标准时要注意哪些问题？	在家禽生产中,为了充分发挥家禽的生产能力又不浪费饲 料,必须对每只家禽每天应该给予的各种营养物质量规定一个大致的标准,以便实际饲养时有所遵循,这个标准就叫饲养标准。 在饲养标准中,详细地规定了家禽在不同生长时期和生产阶段,每千克饲粮中应含有的能量、粗蛋白质、各种必需氨基酸、矿物质及维生素含量。有了饲养标准,可以避免实际饲养中的盲目性,对饲粮中的各种营养物质能否满足家禽的需要,与需要量相比有多大差距,可以做到心中有数,不至于因饲粮营养指标偏离家禽需要量或比例不当而降低家禽的生产水平。 应用饲养标准时需注意以下几个问题 $①$ 饲养标准来自养禽生产,然后服务于养禽生产。生产中只有合理应用饲养标准,配制营养完善的全价饲粮,才能保证家禽健康并很好地发挥生产性能,提高饲料利用率,降低饲养成本,获得较好的经济效益。因此,为家禽配合饲粮时,必须以饲养标准为依据。 $②$ 饲养标准本身不是永恒不变的指标,随着营养科学的发展和家禽品质的改进,饲养标准也应及时进行修订、充实和完善,使之更好地为养禽生产服务。 $③$ 饲养标准是在一定的生产条件下制订的,各地区以及各国制订的饲养标准虽有一定的代表性,但毕竟有局限性,这就决定了饲养标准的相对合理性。 家禽的营养需要是个极其复杂的问题,饲料的品种、产地、保存好坏都会影响其中的营养含量;家禽品种、类型、饲养管理条件等也都影响营养的实际需要量,温度、湿度、有害气体、应激因素、饲料加工调制方法等也会影响营养的需要和消化吸收。因此,在生产中原则上既要按标准配合饲粮,也要根据实际情况做适当的调整。
